,G1,G2,score
0,0,1,1
1,2,3,1
2,2,4,1
3,2,5,1
4,2,6,1
5,2,7,1
6,2,8,1
7,9,10,1
8,11,12,1
9,13,14,1
10,15,16,1
11,17,18,1
12,19,20,1
13,21,22,1
14,23,24,1
15,23,25,1
16,23,26,1
17,23,27,1
18,23,28,1
19,23,29,1
20,23,30,1
21,23,31,1
22,23,32,1
23,23,33,1
24,23,34,1
25,23,35,1
26,23,36,1
27,23,37,1
28,23,38,1
29,23,39,1
30,23,40,1
31,23,41,1
32,23,42,1
33,23,43,1
34,23,44,1
35,23,45,1
36,23,46,1
37,23,47,1
38,23,48,1
39,23,49,1
40,23,50,1
41,23,51,1
42,23,52,1
43,23,53,1
44,23,54,1
45,23,55,1
46,23,56,1
47,23,57,1
48,23,58,1
49,23,59,1
50,23,60,1
51,23,61,1
52,23,62,1
53,23,63,1
54,23,64,1
55,23,65,1
56,23,66,1
57,23,67,1
58,23,68,1
59,23,69,1
60,23,70,1
61,23,71,1
62,23,72,1
63,23,73,1
64,23,74,1
65,23,75,1
66,23,76,1
67,23,77,1
68,23,78,1
69,23,79,1
70,23,80,1
71,23,81,1
72,23,82,1
73,23,83,1
74,23,84,1
75,23,85,1
76,23,86,1
77,23,87,1
78,23,88,1
79,23,89,1
80,23,90,1
81,23,91,1
82,23,92,1
83,23,93,1
84,23,94,1
85,23,95,1
86,23,96,1
87,23,97,1
88,23,98,1
89,23,99,1
90,23,100,1
91,23,101,1
92,23,102,1
93,23,103,1
94,23,104,1
95,23,105,1
96,23,106,1
97,23,107,1
98,23,108,1
99,23,109,1
100,23,110,1
101,23,111,1
102,23,112,1
103,23,113,1
104,23,114,1
105,23,115,1
106,23,116,1
107,23,117,1
108,23,118,1
109,23,119,1
110,23,120,1
111,23,121,1
112,23,122,1
113,23,123,1
114,23,124,1
115,23,125,1
116,23,126,1
117,23,127,1
118,23,128,1
119,23,129,1
120,23,130,1
121,23,131,1
122,23,132,1
123,23,133,1
124,23,134,1
125,23,135,1
126,23,136,1
127,23,137,1
128,23,138,1
129,23,139,1
130,23,140,1
131,141,142,1
132,24,23,1
133,24,25,1
134,24,26,1
135,24,27,1
136,24,28,1
137,24,29,1
138,24,30,1
139,24,31,1
140,24,32,1
141,24,33,1
142,24,34,1
143,24,35,1
144,24,36,1
145,24,143,1
146,24,37,1
147,24,38,1
148,24,39,1
149,24,40,1
150,24,41,1
151,24,42,1
152,24,144,1
153,24,43,1
154,24,145,1
155,24,146,1
156,24,44,1
157,24,45,1
158,24,46,1
159,24,47,1
160,24,147,1
161,24,48,1
162,24,49,1
163,24,50,1
164,24,148,1
165,24,51,1
166,24,52,1
167,24,53,1
168,24,54,1
169,24,55,1
170,24,56,1
171,24,149,1
172,24,57,1
173,24,58,1
174,24,59,1
175,24,60,1
176,24,61,1
177,24,62,1
178,24,150,1
179,24,151,1
180,24,63,1
181,24,64,1
182,24,152,1
183,24,153,1
184,24,65,1
185,24,66,1
186,24,67,1
187,24,68,1
188,24,69,1
189,24,70,1
190,24,71,1
191,24,72,1
192,24,73,1
193,24,154,1
194,24,155,1
195,24,156,1
196,24,74,1
197,24,75,1
198,24,76,1
199,24,77,1
200,24,78,1
201,24,79,1
202,24,157,1
203,24,80,1
204,24,158,1
205,24,81,1
206,24,82,1
207,24,83,1
208,24,84,1
209,24,85,1
210,24,86,1
211,24,87,1
212,24,88,1
213,24,89,1
214,24,159,1
215,24,90,1
216,24,91,1
217,24,92,1
218,24,93,1
219,24,94,1
