,G1,G2,score
1,ENSG00000001630,ENSG00000240720,1
2,ENSG00000002745,ENSG00000027644,1
3,ENSG00000002745,ENSG00000075429,1
4,ENSG00000002745,ENSG00000152954,1
5,ENSG00000002745,ENSG00000162992,1
6,ENSG00000002745,ENSG00000163497,1
7,ENSG00000002745,ENSG00000177511,1
8,ENSG00000002933,ENSG00000106565,1
9,ENSG00000004059,ENSG00000106328,1
10,ENSG00000004139,ENSG00000076351,1
11,ENSG00000004700,ENSG00000121350,1
12,ENSG00000005810,ENSG00000283208,1
13,ENSG00000005812,ENSG00000102805,1
14,ENSG00000005882,ENSG00000167100,1
15,ENSG00000005981,ENSG00000006788,1
16,ENSG00000005981,ENSG00000010282,1
17,ENSG00000005981,ENSG00000068976,1
18,ENSG00000005981,ENSG00000070808,1
19,ENSG00000005981,ENSG00000077009,1
20,ENSG00000005981,ENSG00000077522,1
21,ENSG00000005981,ENSG00000078328,1
22,ENSG00000005981,ENSG00000081248,1
23,ENSG00000005981,ENSG00000086967,1
24,ENSG00000005981,ENSG00000091482,1
25,ENSG00000005981,ENSG00000092054,1
26,ENSG00000005981,ENSG00000092529,1
27,ENSG00000005981,ENSG00000100628,1
28,ENSG00000005981,ENSG00000101306,1
29,ENSG00000005981,ENSG00000101470,1
30,ENSG00000005981,ENSG00000101605,1
31,ENSG00000005981,ENSG00000101892,1
32,ENSG00000005981,ENSG00000104848,1
33,ENSG00000005981,ENSG00000104879,1
34,ENSG00000005981,ENSG00000108515,1
35,ENSG00000005981,ENSG00000109063,1
36,ENSG00000005981,ENSG00000111241,1
37,ENSG00000005981,ENSG00000111245,1
38,ENSG00000005981,ENSG00000114854,1
39,ENSG00000005981,ENSG00000116748,1
40,ENSG00000005981,ENSG00000116981,1
41,ENSG00000005981,ENSG00000120729,1
42,ENSG00000005981,ENSG00000122367,1
43,ENSG00000005981,ENSG00000122477,1
44,ENSG00000005981,ENSG00000124701,1
45,ENSG00000005981,ENSG00000125414,1
46,ENSG00000005981,ENSG00000128591,1
47,ENSG00000005981,ENSG00000129170,1
48,ENSG00000005981,ENSG00000130528,1
49,ENSG00000005981,ENSG00000130595,1
50,ENSG00000005981,ENSG00000130598,1
51,ENSG00000005981,ENSG00000130957,1
52,ENSG00000005981,ENSG00000131730,1
53,ENSG00000005981,ENSG00000133020,1
54,ENSG00000005981,ENSG00000133878,1
55,ENSG00000005981,ENSG00000138100,1
56,ENSG00000005981,ENSG00000139914,1
57,ENSG00000005981,ENSG00000141161,1
58,ENSG00000005981,ENSG00000142661,1
59,ENSG00000005981,ENSG00000143028,1
60,ENSG00000005981,ENSG00000143318,1
61,ENSG00000005981,ENSG00000143632,1
62,ENSG00000005981,ENSG00000146147,1
63,ENSG00000005981,ENSG00000146809,1
64,ENSG00000005981,ENSG00000146926,1
65,ENSG00000005981,ENSG00000154415,1
66,ENSG00000005981,ENSG00000155657,1
67,ENSG00000005981,ENSG00000156885,1
68,ENSG00000005981,ENSG00000157119,1
69,ENSG00000005981,ENSG00000158022,1
70,ENSG00000005981,ENSG00000159173,1
71,ENSG00000005981,ENSG00000160808,1
72,ENSG00000005981,ENSG00000162494,1
73,ENSG00000005981,ENSG00000163092,1
74,ENSG00000005981,ENSG00000163126,1
75,ENSG00000005981,ENSG00000163157,1
76,ENSG00000005981,ENSG00000163380,1
77,ENSG00000005981,ENSG00000163827,1
78,ENSG00000005981,ENSG00000163833,1
79,ENSG00000005981,ENSG00000164122,1
80,ENSG00000005981,ENSG00000164309,1
81,ENSG00000005981,ENSG00000164708,1
82,ENSG00000005981,ENSG00000164879,1
83,ENSG00000005981,ENSG00000165192,1
84,ENSG00000005981,ENSG00000165887,1
85,ENSG00000005981,ENSG00000166343,1
86,ENSG00000005981,ENSG00000168333,1
87,ENSG00000005981,ENSG00000168334,1
88,ENSG00000005981,ENSG00000168509,1
89,ENSG00000005981,ENSG00000168530,1
90,ENSG00000005981,ENSG00000170162,1
91,ENSG00000005981,ENSG00000170290,1
92,ENSG00000005981,ENSG00000170681,1
93,ENSG00000005981,ENSG00000170807,1
94,ENSG00000005981,ENSG00000172399,1
95,ENSG00000005981,ENSG00000173991,1
96,ENSG00000005981,ENSG00000174429,1
97,ENSG00000005981,ENSG00000175084,1
98,ENSG00000005981,ENSG00000175564,1
99,ENSG00000005981,ENSG00000177354,1
100,ENSG00000005981,ENSG00000177791,1
101,ENSG00000005981,ENSG00000180209,1
102,ENSG00000005981,ENSG00000182533,1
103,ENSG00000005981,ENSG00000182676,1
104,ENSG00000005981,ENSG00000183091,1
105,ENSG00000005981,ENSG00000184544,1
106,ENSG00000005981,ENSG00000185105,1
107,ENSG00000005981,ENSG00000185271,1
108,ENSG00000005981,ENSG00000185482,1
109,ENSG00000005981,ENSG00000185739,1
110,ENSG00000005981,ENSG00000186335,1
111,ENSG00000005981,ENSG00000186439,1
112,ENSG00000005981,ENSG00000188716,1
113,ENSG00000005981,ENSG00000196218,1
114,ENSG00000005981,ENSG00000196296,1
115,ENSG00000005981,ENSG00000197616,1
116,ENSG00000005981,ENSG00000197893,1
117,ENSG00000005981,ENSG00000198125,1
118,ENSG00000005981,ENSG00000198842,1
119,ENSG00000005981,ENSG00000198881,1
120,ENSG00000005981,ENSG00000205678,1
121,ENSG00000005981,ENSG00000206422,1
122,ENSG00000005981,ENSG00000214097,1
123,ENSG00000005981,ENSG00000214872,1
124,ENSG00000005981,ENSG00000234438,1
125,ENSG00000005981,ENSG00000239474,1
126,ENSG00000005981,ENSG00000240045,1
127,ENSG00000005981,ENSG00000248713,1
128,ENSG00000005981,ENSG00000248746,1
129,ENSG00000005981,ENSG00000251569,1
130,ENSG00000005981,ENSG00000264424,1
131,ENSG00000005981,ENSG00000273540,1
132,ENSG00000006625,ENSG00000281039,1
133,ENSG00000006788,ENSG00000005981,1
134,ENSG00000006788,ENSG00000010282,1
135,ENSG00000006788,ENSG00000068976,1
136,ENSG00000006788,ENSG00000070808,1
