,G1,G2,score
0,ENSG00000000938,ENSG00000147443,1
1,ENSG00000000971,ENSG00000244414,1
2,ENSG00000001630,ENSG00000240720,1
3,ENSG00000002726,ENSG00000172969,1
4,ENSG00000002726,ENSG00000185038,1
5,ENSG00000002834,ENSG00000263874,1
6,ENSG00000002919,ENSG00000108439,1
7,ENSG00000002919,ENSG00000159111,1
8,ENSG00000002933,ENSG00000106565,1
9,ENSG00000003756,ENSG00000004534,1
10,ENSG00000004059,ENSG00000106328,1
11,ENSG00000004139,ENSG00000076351,1
12,ENSG00000004534,ENSG00000003756,1
13,ENSG00000004776,ENSG00000092607,1
14,ENSG00000004776,ENSG00000102683,1
15,ENSG00000005102,ENSG00000147113,1
16,ENSG00000005102,ENSG00000173269,1
17,ENSG00000005102,ENSG00000198844,1
18,ENSG00000005249,ENSG00000056998,1
19,ENSG00000005249,ENSG00000092445,1
20,ENSG00000005249,ENSG00000095637,1
21,ENSG00000005249,ENSG00000108960,1
22,ENSG00000005249,ENSG00000118804,1
23,ENSG00000005249,ENSG00000119927,1
24,ENSG00000005249,ENSG00000120049,1
25,ENSG00000005249,ENSG00000121691,1
26,ENSG00000005249,ENSG00000122729,1
27,ENSG00000005249,ENSG00000131471,1
28,ENSG00000005249,ENSG00000132170,1
29,ENSG00000005249,ENSG00000132837,1
30,ENSG00000005249,ENSG00000135218,1
31,ENSG00000005249,ENSG00000135678,1
32,ENSG00000005249,ENSG00000152270,1
33,ENSG00000005249,ENSG00000158571,1
34,ENSG00000005249,ENSG00000164330,1
35,ENSG00000005249,ENSG00000165478,1
36,ENSG00000005249,ENSG00000166819,1
37,ENSG00000005249,ENSG00000170145,1
38,ENSG00000005249,ENSG00000170323,1
39,ENSG00000005249,ENSG00000173208,1
40,ENSG00000005249,ENSG00000175445,1
41,ENSG00000005249,ENSG00000180354,1
42,ENSG00000005249,ENSG00000181092,1
43,ENSG00000005249,ENSG00000186205,1
44,ENSG00000005249,ENSG00000221932,1
45,ENSG00000005249,ENSG00000272414,1
46,ENSG00000005810,ENSG00000283208,1
47,ENSG00000005882,ENSG00000167100,1
48,ENSG00000005981,ENSG00000006788,1
49,ENSG00000005981,ENSG00000010282,1
50,ENSG00000005981,ENSG00000011083,1
51,ENSG00000005981,ENSG00000029534,1
52,ENSG00000005981,ENSG00000036448,1
53,ENSG00000005981,ENSG00000058056,1
54,ENSG00000005981,ENSG00000065675,1
55,ENSG00000005981,ENSG00000067191,1
56,ENSG00000005981,ENSG00000068976,1
57,ENSG00000005981,ENSG00000070182,1
58,ENSG00000005981,ENSG00000070371,1
59,ENSG00000005981,ENSG00000070808,1
60,ENSG00000005981,ENSG00000072954,1
61,ENSG00000005981,ENSG00000077009,1
62,ENSG00000005981,ENSG00000077522,1
63,ENSG00000005981,ENSG00000078328,1
64,ENSG00000005981,ENSG00000078814,1
65,ENSG00000005981,ENSG00000079393,1
66,ENSG00000005981,ENSG00000081248,1
67,ENSG00000005981,ENSG00000086967,1
68,ENSG00000005981,ENSG00000087085,1
69,ENSG00000005981,ENSG00000089250,1
70,ENSG00000005981,ENSG00000091482,1
71,ENSG00000005981,ENSG00000092054,1
72,ENSG00000005981,ENSG00000092529,1
73,ENSG00000005981,ENSG00000100628,1
74,ENSG00000005981,ENSG00000100678,1
75,ENSG00000005981,ENSG00000101306,1
76,ENSG00000005981,ENSG00000101470,1
77,ENSG00000005981,ENSG00000101605,1
78,ENSG00000005981,ENSG00000101892,1
79,ENSG00000005981,ENSG00000104369,1
80,ENSG00000005981,ENSG00000104848,1
81,ENSG00000005981,ENSG00000104879,1
82,ENSG00000005981,ENSG00000105048,1
83,ENSG00000005981,ENSG00000107859,1
84,ENSG00000005981,ENSG00000108515,1
85,ENSG00000005981,ENSG00000108823,1
86,ENSG00000005981,ENSG00000108878,1
87,ENSG00000005981,ENSG00000109061,1
88,ENSG00000005981,ENSG00000109063,1
89,ENSG00000005981,ENSG00000111046,1
90,ENSG00000005981,ENSG00000111049,1
91,ENSG00000005981,ENSG00000111241,1
92,ENSG00000005981,ENSG00000111245,1
93,ENSG00000005981,ENSG00000114854,1
94,ENSG00000005981,ENSG00000115592,1
95,ENSG00000005981,ENSG00000115593,1
96,ENSG00000005981,ENSG00000116748,1
97,ENSG00000005981,ENSG00000116981,1
98,ENSG00000005981,ENSG00000119125,1
99,ENSG00000005981,ENSG00000120729,1
100,ENSG00000005981,ENSG00000121769,1
101,ENSG00000005981,ENSG00000122180,1
102,ENSG00000005981,ENSG00000122367,1
103,ENSG00000005981,ENSG00000122477,1
104,ENSG00000005981,ENSG00000124701,1
105,ENSG00000005981,ENSG00000125414,1
106,ENSG00000005981,ENSG00000127325,1
107,ENSG00000005981,ENSG00000128591,1
108,ENSG00000005981,ENSG00000129152,1
109,ENSG00000005981,ENSG00000129170,1
110,ENSG00000005981,ENSG00000129744,1
111,ENSG00000005981,ENSG00000129910,1
112,ENSG00000005981,ENSG00000130528,1
113,ENSG00000005981,ENSG00000130595,1
114,ENSG00000005981,ENSG00000130598,1
115,ENSG00000005981,ENSG00000130957,1
116,ENSG00000005981,ENSG00000131730,1
117,ENSG00000005981,ENSG00000132429,1
118,ENSG00000005981,ENSG00000133020,1
119,ENSG00000005981,ENSG00000133055,1
120,ENSG00000005981,ENSG00000133454,1
121,ENSG00000005981,ENSG00000133878,1
122,ENSG00000005981,ENSG00000134020,1
123,ENSG00000005981,ENSG00000135469,1
124,ENSG00000005981,ENSG00000135902,1
125,ENSG00000005981,ENSG00000138100,1
126,ENSG00000005981,ENSG00000138347,1
127,ENSG00000005981,ENSG00000139780,1
128,ENSG00000005981,ENSG00000139914,1
129,ENSG00000005981,ENSG00000140795,1
130,ENSG00000005981,ENSG00000140986,1
131,ENSG00000005981,ENSG00000141161,1
132,ENSG00000005981,ENSG00000141965,1
133,ENSG00000005981,ENSG00000142661,1
134,ENSG00000005981,ENSG00000143028,1
135,ENSG00000005981,ENSG00000143318,1
136,ENSG00000005981,ENSG00000143434,1
137,ENSG00000005981,ENSG00000143632,1
138,ENSG00000005981,ENSG00000144644,1
139,ENSG00000005981,ENSG00000144712,1
140,ENSG00000005981,ENSG00000145358,1
141,ENSG00000005981,ENSG00000145626,1
142,ENSG00000005981,ENSG00000145949,1
143,ENSG00000005981,ENSG00000146054,1
144,ENSG00000005981,ENSG00000146147,1
145,ENSG00000005981,ENSG00000146809,1
146,ENSG00000005981,ENSG00000146926,1
147,ENSG00000005981,ENSG00000147166,1
148,ENSG00000005981,ENSG00000148377,1
149,ENSG00000005981,ENSG00000148677,1
150,ENSG00000005981,ENSG00000151729,1
151,ENSG00000005981,ENSG00000152430,1
152,ENSG00000005981,ENSG00000152556,1
153,ENSG00000005981,ENSG00000154358,1
154,ENSG00000005981,ENSG00000154415,1
155,ENSG00000005981,ENSG00000154553,1
156,ENSG00000005981,ENSG00000155657,1
157,ENSG00000005981,ENSG00000156885,1
158,ENSG00000005981,ENSG00000157119,1
159,ENSG00000005981,ENSG00000158022,1
160,ENSG00000005981,ENSG00000159173,1
161,ENSG00000005981,ENSG00000159251,1
162,ENSG00000005981,ENSG00000160097,1
163,ENSG00000005981,ENSG00000160539,1
164,ENSG00000005981,ENSG00000160808,1
165,ENSG00000005981,ENSG00000162461,1
166,ENSG00000005981,ENSG00000162494,1
167,ENSG00000005981,ENSG00000162614,1
168,ENSG00000005981,ENSG00000163092,1
169,ENSG00000005981,ENSG00000163126,1
170,ENSG00000005981,ENSG00000163157,1
171,ENSG00000005981,ENSG00000163380,1
172,ENSG00000005981,ENSG00000163827,1
173,ENSG00000005981,ENSG00000163833,1
174,ENSG00000005981,ENSG00000163995,1
175,ENSG00000005981,ENSG00000164122,1
176,ENSG00000005981,ENSG00000164309,1
177,ENSG00000005981,ENSG00000164440,1
178,ENSG00000005981,ENSG00000164591,1
179,ENSG00000005981,ENSG00000164708,1
180,ENSG00000005981,ENSG00000164879,1
181,ENSG00000005981,ENSG00000165192,1
182,ENSG00000005981,ENSG00000165312,1
183,ENSG00000005981,ENSG00000165887,1
184,ENSG00000005981,ENSG00000166343,1
185,ENSG00000005981,ENSG00000166592,1
186,ENSG00000005981,ENSG00000168333,1
187,ENSG00000005981,ENSG00000168334,1
188,ENSG00000005981,ENSG00000168509,1
189,ENSG00000005981,ENSG00000168530,1
190,ENSG00000005981,ENSG00000168621,1
191,ENSG00000005981,ENSG00000169885,1
192,ENSG00000005981,ENSG00000170162,1
193,ENSG00000005981,ENSG00000170290,1
194,ENSG00000005981,ENSG00000170417,1
195,ENSG00000005981,ENSG00000170681,1
196,ENSG00000005981,ENSG00000170807,1
197,ENSG00000005981,ENSG00000171033,1
198,ENSG00000005981,ENSG00000172399,1
199,ENSG00000005981,ENSG00000172508,1
200,ENSG00000005981,ENSG00000172731,1
201,ENSG00000005981,ENSG00000173093,1
202,ENSG00000005981,ENSG00000173991,1
203,ENSG00000005981,ENSG00000174429,1
204,ENSG00000005981,ENSG00000174437,1
205,ENSG00000005981,ENSG00000175084,1
206,ENSG00000005981,ENSG00000175564,1
207,ENSG00000005981,ENSG00000175946,1
208,ENSG00000005981,ENSG00000176909,1
209,ENSG00000005981,ENSG00000177354,1
210,ENSG00000005981,ENSG00000177752,1
211,ENSG00000005981,ENSG00000177791,1
212,ENSG00000005981,ENSG00000178104,1
213,ENSG00000005981,ENSG00000178257,1
214,ENSG00000005981,ENSG00000178821,1
215,ENSG00000005981,ENSG00000180209,1
216,ENSG00000005981,ENSG00000181016,1
217,ENSG00000005981,ENSG00000182533,1
218,ENSG00000005981,ENSG00000182676,1
219,ENSG00000005981,ENSG00000182759,1
220,ENSG00000005981,ENSG00000183091,1
221,ENSG00000005981,ENSG00000183230,1
222,ENSG00000005981,ENSG00000183386,1
223,ENSG00000005981,ENSG00000183571,1
224,ENSG00000005981,ENSG00000184544,1
225,ENSG00000005981,ENSG00000185100,1
226,ENSG00000005981,ENSG00000185105,1
227,ENSG00000005981,ENSG00000185271,1
228,ENSG00000005981,ENSG00000185482,1
229,ENSG00000005981,ENSG00000185739,1
230,ENSG00000005981,ENSG00000185915,1
231,ENSG00000005981,ENSG00000186335,1
232,ENSG00000005981,ENSG00000186439,1
233,ENSG00000005981,ENSG00000186628,1
234,ENSG00000005981,ENSG00000187642,1
235,ENSG00000005981,ENSG00000187715,1
236,ENSG00000005981,ENSG00000188037,1
237,ENSG00000005981,ENSG00000188176,1
238,ENSG00000005981,ENSG00000188582,1
239,ENSG00000005981,ENSG00000188716,1
240,ENSG00000005981,ENSG00000196091,1
241,ENSG00000005981,ENSG00000196218,1
242,ENSG00000005981,ENSG00000196296,1
243,ENSG00000005981,ENSG00000196811,1
244,ENSG00000005981,ENSG00000197321,1
245,ENSG00000005981,ENSG00000197616,1
246,ENSG00000005981,ENSG00000197893,1
247,ENSG00000005981,ENSG00000198125,1
248,ENSG00000005981,ENSG00000198467,1
249,ENSG00000005981,ENSG00000198523,1
250,ENSG00000005981,ENSG00000198796,1
251,ENSG00000005981,ENSG00000198842,1
252,ENSG00000005981,ENSG00000198881,1
253,ENSG00000005981,ENSG00000205279,1
254,ENSG00000005981,ENSG00000205678,1
255,ENSG00000005981,ENSG00000206422,1
256,ENSG00000005981,ENSG00000213337,1
257,ENSG00000005981,ENSG00000214097,1
258,ENSG00000005981,ENSG00000214872,1
259,ENSG00000005981,ENSG00000227877,1
260,ENSG00000005981,ENSG00000234438,1
261,ENSG00000005981,ENSG00000239474,1
262,ENSG00000005981,ENSG00000240045,1
263,ENSG00000005981,ENSG00000244607,1
264,ENSG00000005981,ENSG00000248713,1
265,ENSG00000005981,ENSG00000248746,1
266,ENSG00000005981,ENSG00000251569,1
267,ENSG00000005981,ENSG00000264424,1
268,ENSG00000005981,ENSG00000267060,1
269,ENSG00000005981,ENSG00000273540,1
270,ENSG00000006016,ENSG00000006611,1
271,ENSG00000006016,ENSG00000095713,1
272,ENSG00000006016,ENSG00000110680,1
273,ENSG00000006016,ENSG00000112499,1
274,ENSG00000006016,ENSG00000116711,1
275,ENSG00000006016,ENSG00000123838,1
276,ENSG00000006016,ENSG00000125084,1
277,ENSG00000006016,ENSG00000142449,1
278,ENSG00000006016,ENSG00000142549,1
279,ENSG00000006016,ENSG00000150201,1
280,ENSG00000006016,ENSG00000163283,1
281,ENSG00000006016,ENSG00000171551,1
282,ENSG00000006016,ENSG00000183090,1
283,ENSG00000006016,ENSG00000187533,1
284,ENSG00000006016,ENSG00000188162,1
285,ENSG00000006016,ENSG00000237412,1
286,ENSG00000006059,ENSG00000147485,1
287,ENSG00000006059,ENSG00000188100,1
288,ENSG00000006059,ENSG00000189090,1
289,ENSG00000006116,ENSG00000171431,1
290,ENSG00000006377,ENSG00000105880,1
291,ENSG00000006606,ENSG00000057252,1
292,ENSG00000006606,ENSG00000100341,1
293,ENSG00000006606,ENSG00000103089,1
294,ENSG00000006606,ENSG00000105954,1
295,ENSG00000006606,ENSG00000129965,1
296,ENSG00000006606,ENSG00000134640,1
297,ENSG00000006606,ENSG00000139988,1
298,ENSG00000006606,ENSG00000159455,1
299,ENSG00000006606,ENSG00000167244,1
300,ENSG00000006606,ENSG00000170423,1
301,ENSG00000006606,ENSG00000172782,1
302,ENSG00000006606,ENSG00000178597,1
303,ENSG00000006606,ENSG00000180316,1
304,ENSG00000006606,ENSG00000180999,1
305,ENSG00000006606,ENSG00000184210,1
306,ENSG00000006606,ENSG00000184351,1
307,ENSG00000006606,ENSG00000185640,1
308,ENSG00000006606,ENSG00000186844,1
309,ENSG00000006606,ENSG00000187180,1
310,ENSG00000006606,ENSG00000187223,1
311,ENSG00000006606,ENSG00000197446,1
312,ENSG00000006606,ENSG00000203786,1
313,ENSG00000006606,ENSG00000204195,1
314,ENSG00000006606,ENSG00000214491,1
315,ENSG00000006606,ENSG00000240386,1
316,ENSG00000006606,ENSG00000255501,1
317,ENSG00000006611,ENSG00000006016,1
318,ENSG00000006611,ENSG00000095713,1
319,ENSG00000006611,ENSG00000110680,1
320,ENSG00000006611,ENSG00000112499,1
321,ENSG00000006611,ENSG00000116711,1
322,ENSG00000006611,ENSG00000123838,1
323,ENSG00000006611,ENSG00000125084,1
324,ENSG00000006611,ENSG00000142449,1
325,ENSG00000006611,ENSG00000142549,1
326,ENSG00000006611,ENSG00000150201,1
327,ENSG00000006611,ENSG00000163283,1
328,ENSG00000006611,ENSG00000163295,1
329,ENSG00000006611,ENSG00000171551,1
330,ENSG00000006611,ENSG00000183090,1
331,ENSG00000006611,ENSG00000187533,1
