"","ensembl_gene_id","external_gene_name","transcript_biotype"
"1","ENSG00000198888","MT-ND1","protein_coding"
"2","ENSG00000198763","MT-ND2","protein_coding"
"3","ENSG00000198804","MT-CO1","protein_coding"
"4","ENSG00000198712","MT-CO2","protein_coding"
"5","ENSG00000228253","MT-ATP8","protein_coding"
"6","ENSG00000198899","MT-ATP6","protein_coding"
"7","ENSG00000198938","MT-CO3","protein_coding"
"8","ENSG00000198840","MT-ND3","protein_coding"
"9","ENSG00000212907","MT-ND4L","protein_coding"
"10","ENSG00000198886","MT-ND4","protein_coding"
"11","ENSG00000198786","MT-ND5","protein_coding"
"12","ENSG00000198695","MT-ND6","protein_coding"
"13","ENSG00000198727","MT-CYB","protein_coding"
"14","ENSG00000278704","","protein_coding"
"15","ENSG00000271254","","protein_coding"
"16","ENSG00000281486","SNTG2","protein_coding"
"17","ENSG00000262826","INTS3","protein_coding"
"18","ENSG00000273735","KIR3DL2","protein_coding"
"19","ENSG00000280663","PCMTD2","protein_coding"
"20","ENSG00000276433","KIR3DL3","protein_coding"
"21","ENSG00000276379","KIR3DL1","protein_coding"
"22","ENSG00000278788","SBNO2","protein_coding"
"23","ENSG00000273947","KIR2DL3","protein_coding"
"24","ENSG00000276595","PTCHD3","protein_coding"
"25","ENSG00000276518","KIR3DP1","protein_coding"
"26","ENSG00000276779","KIR2DL4","protein_coding"
"27","ENSG00000278152","KIR2DS2","protein_coding"
"28","ENSG00000277484","KIR2DL3","protein_coding"
"29","ENSG00000277044","OPRL1","protein_coding"
"30","ENSG00000273775","KIR3DL1","protein_coding"
"31","ENSG00000276858","FCAR","protein_coding"
"32","ENSG00000277339","NPBWR2","protein_coding"
"33","ENSG00000276534","KIR3DS1","protein_coding"
"34","ENSG00000276044","KIR2DL4","protein_coding"
"35","ENSG00000276876","MYT1","protein_coding"
"36","ENSG00000275717","KIR3DL1","protein_coding"
"37","ENSG00000277554","KIR2DL3","protein_coding"
"38","ENSG00000277272","KIR3DL1","protein_coding"
"39","ENSG00000278074","KIR2DL4","protein_coding"
"40","ENSG00000275974","PPIAL4F","protein_coding"
"41","ENSG00000276885","KIR2DS4","protein_coding"
"42","ENSG00000273510","KIR2DL1","protein_coding"
"43","ENSG00000275786","KIR3DL1","protein_coding"
"44","ENSG00000261992","GATAD2B","protein_coding"
"45","ENSG00000277334","NCR1","protein_coding"
"46","ENSG00000277650","KIR2DS5","protein_coding"
"47","ENSG00000273661","KIR2DL2","protein_coding"
"48","ENSG00000277355","KIR2DL4","protein_coding"
"49","ENSG00000275047","KIR2DS5","protein_coding"
"50","ENSG00000274696","KIR3DL3","protein_coding"
"51","ENSG00000275511","KIR3DL2","protein_coding"
"52","ENSG00000276333","HS3ST6","protein_coding"
"53","ENSG00000274676","KIR2DL5A","protein_coding"
"54","ENSG00000275237","KIR2DL4","protein_coding"
"55","ENSG00000275659","KIR3DL1","protein_coding"
"56","ENSG00000273575","KIR2DL4","protein_coding"
"57","ENSG00000263163","SLC27A3","protein_coding"
"58","ENSG00000275407","KIR2DL2","protein_coding"
"59","ENSG00000278805","KIR2DL1","protein_coding"
"60","ENSG00000275699","KIR2DL4","protein_coding"
"61","ENSG00000276820","KIR2DL1","protein_coding"
"62","ENSG00000276423","KIR3DL1","protein_coding"
"63","ENSG00000276424","KIR3DL2","protein_coding"
"64","ENSG00000273526","KIR2DS4","protein_coding"
"65","ENSG00000274193","KIR2DL4","protein_coding"
"66","ENSG00000278306","KIR2DS3","protein_coding"
"67","ENSG00000276328","KIR3DL3","protein_coding"
"68","ENSG00000278731","KIR2DL2","protein_coding"
"69","ENSG00000274782","KIR2DL1","protein_coding"
"70","ENSG00000275080","KIR2DL1","protein_coding"
"71","ENSG00000275433","KIR3DL3","protein_coding"
"72","ENSG00000275732","KIR2DL4","protein_coding"
"73","ENSG00000277620","KIR3DL3","protein_coding"
"74","ENSG00000273738","FCAR","protein_coding"
"75","ENSG00000280830","ADI1","protein_coding"
"76","ENSG00000274891","TRAPPC12","protein_coding"
"77","ENSG00000274948","KIR3DL1","protein_coding"
"78","ENSG00000262647","OR9G4","protein_coding"
"79","ENSG00000261958","OR9G1","protein_coding"
"80","ENSG00000262191","OR9G9","protein_coding"
"81","ENSG00000274955","KIR2DL4","protein_coding"
"82","ENSG00000277317","KIR2DL3","protein_coding"
"83","ENSG00000269823","","protein_coding"
"84","ENSG00000276676","KIR2DS5","protein_coding"
"85","ENSG00000276930","KIR3DL3","protein_coding"
"86","ENSG00000277616","KIR2DL1","protein_coding"
"87","ENSG00000276258","KIR2DS2","protein_coding"
"88","ENSG00000276086","KIR3DL3","protein_coding"
"89","ENSG00000275946","KIR2DL5B","protein_coding"
"90","ENSG00000278369","KIR2DL3","protein_coding"
"91","ENSG00000274406","KIR2DS4","protein_coding"
"92","ENSG00000274189","KIR2DL4","protein_coding"
"93","ENSG00000277725","KIR2DL2","protein_coding"
"94","ENSG00000275276","KIR2DL1","protein_coding"
"95","ENSG00000274722","KIR3DL2","protein_coding"
"96","ENSG00000278850","KIR3DL2","protein_coding"
"97","ENSG00000276501","KIR3DL1","protein_coding"
"98","ENSG00000276329","KIR3DL1","protein_coding"
"99","ENSG00000274707","KIR2DL5B","protein_coding"
"100","ENSG00000275521","NCR1","protein_coding"
"101","ENSG00000275288","KIR3DL1","protein_coding"
"102","ENSG00000278710","KIR3DL2","protein_coding"
"103","ENSG00000274429","DLG5","protein_coding"
"104","ENSG00000276425","KIR2DS2","protein_coding"
"105","ENSG00000275421","KIR2DS1","protein_coding"
"106","ENSG00000273603","KIR2DS1","protein_coding"
"107","ENSG00000275172","KIR3DL3","protein_coding"
"108","ENSG00000274830","KIR2DL3","protein_coding"
"109","ENSG00000275596","KIR2DL5A","protein_coding"
"110","ENSG00000277964","KIR2DL4","protein_coding"
"111","ENSG00000279566","ZNF43","protein_coding"
"112","ENSG00000281763","DHX36","protein_coding"
"113","ENSG00000276004","KIR3DL2","protein_coding"
"114","ENSG00000274746","ZNF100","protein_coding"
"115","ENSG00000275608","KIR3DS1","protein_coding"
"116","ENSG00000273518","KIR3DL1","protein_coding"
"117","ENSG00000278474","KIR3DL2","protein_coding"
"118","ENSG00000275051","PIWIL1","protein_coding"
"119","ENSG00000278780","ZNF430","protein_coding"
"120","ENSG00000273517","KIR2DS1","protein_coding"
"121","ENSG00000276985","FCAR","protein_coding"
"122","ENSG00000277193","KIR2DS3","protein_coding"
"123","ENSG00000276392","KIR2DL5A","protein_coding"
"124","ENSG00000278755","KIR2DL1","protein_coding"
"125","ENSG00000277101","ARHGEF26","protein_coding"
"126","ENSG00000273578","KIR2DL2","protein_coding"
"127","ENSG00000278091","ZNF85","protein_coding"
"128","ENSG00000273502","KIR3DL3","protein_coding"
"129","ENSG00000273887","KIR2DL3","protein_coding"
"130","ENSG00000276498","KIR3DS1","protein_coding"
"131","ENSG00000276450","NCR1","protein_coding"
"132","ENSG00000274480","KIR3DL3","protein_coding"
"133","ENSG00000274518","KIR2DS2","protein_coding"
"134","ENSG00000275970","FCAR","protein_coding"
"135","ENSG00000276806","KIR3DL3","protein_coding"
"136","ENSG00000274945","KIR2DL4","protein_coding"
"137","ENSG00000274724","KIR3DL3","protein_coding"
"138","ENSG00000276218","KIR2DL3","protein_coding"
"139","ENSG00000277362","KIR2DL4","protein_coding"
"140","ENSG00000276590","KIR2DL3","protein_coding"
"141","ENSG00000267728","KRTAP9-9","protein_coding"
"142","ENSG00000275750","KIR2DL1","protein_coding"
"143","ENSG00000263090","KRTAP9-2","protein_coding"
"144","ENSG00000262512","KRTAP9-4","protein_coding"
"145","ENSG00000262749","KRTAP9-3","protein_coding"
"146","ENSG00000267635","","protein_coding"
"147","ENSG00000278726","KIR3DL2","protein_coding"
"148","ENSG00000262218","KRTAP29-1","protein_coding"
"149","ENSG00000274108","KIR2DL3","protein_coding"
"150","ENSG00000275452","KIR2DS2","protein_coding"
"151","ENSG00000277356","KIR2DL1","protein_coding"
"152","ENSG00000275050","ZNF66","protein_coding"
"153","ENSG00000278079","KIR3DL1","protein_coding"
"154","ENSG00000277596","KIR3DL3","protein_coding"
"155","ENSG00000278327","KIR2DL3","protein_coding"
"156","ENSG00000274610","KIR3DP1","protein_coding"
"157","ENSG00000274243","KIR2DS5","protein_coding"
"158","ENSG00000274563","KIR2DS5","protein_coding"
"159","ENSG00000278414","KIR2DL5B","protein_coding"
"160","ENSG00000281020","SNTG2","protein_coding"
"161","ENSG00000275136","FCAR","protein_coding"
"162","ENSG00000275269","FCAR","protein_coding"
"163","ENSG00000274556","KIR3DL3","protein_coding"
"164","ENSG00000277603","TPO","protein_coding"
"165","ENSG00000278442","KIR3DL2","protein_coding"
"166","ENSG00000277196","PRODH","protein_coding"
"167","ENSG00000273498","KIR2DL4","protein_coding"
"168","ENSG00000277750","KIR2DL4","protein_coding"
"169","ENSG00000276395","KIR2DS4","protein_coding"
"170","ENSG00000276310","KIR2DL1","protein_coding"
"171","ENSG00000277630","","protein_coding"
"172","ENSG00000273794","KIR2DL1","protein_coding"
"173","ENSG00000278758","KIR3DL2","protein_coding"
"174","ENSG00000281935","DNAH10","protein_coding"
"175","ENSG00000278817","","protein_coding"
"176","ENSG00000276017","","protein_coding"
"177","ENSG00000275262","KIR3DL2","protein_coding"
"178","ENSG00000274786","KIR3DL3","protein_coding"
"179","ENSG00000274382","PROP1","protein_coding"
